sentiment,statement
2,"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries"
1,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .
2,"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month ."
1,"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others ."
2,"However , the total orders received will still be above last year s levels ."
2,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .
0,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''"
1,"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. ."
1,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday ."
0,"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 ."
2,"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli"
1,"Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers ."
1,The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .
1,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .
0,`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . ''
2,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years ."
1,Sanoma will continue to focus on investing in digital media and on strengthening its market positions .
1,"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years ."
1,"The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 ."
1,"The chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer Precor to slash prices ."
2,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ."
1,The serial bond is part of the plan to refinance the short-term credit facility .
1,Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .
1,"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities ."
1,"` We respect their decision ... the discussions are now closed , ' said Kai Telanne , Alma Media 's CEO ."
1,Status : Agreed
0,"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts ."
2,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 ."
2,"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier ."
1,"The maximum obligated total trades per day is ISK 400,000,000 market value ."
1,"FinancialWire tm is a fully independent , proprietary news wire service ."
2,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .
1,`` The rest of this week 's tapings of Jimmy Kimmel Live have been canceled until he is back on his feet .
1,"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado ."
0,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions ."
1,In his turn Fradkov said Russia is interested in adopting Finnish experience in forming technology parks in the framework of implementing the law on special economic zone .
0,"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn ."
1,"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market ."
1,"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China ."
1,Sales fell abroad but increased in Finland .
1,"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press ."
1,"We offer challenging and interesting employment for over 20,000 people in 20 countries throughout Europe ."
2,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 ."
1,"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device ."
0,The union filed a grievance over the company 's overtime assignment policies .
1,"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 ."
0,"Stora Enso Oyj , the largest papermaker , in October said it would close four mills ."
0,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .
2,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ."
1,"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+Æliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million ."
1,"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses ."
2,7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .
0,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn ."
2,The Group 's cash flow from operations will be positive .
2,"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said ."
1,"You need to be ready when the window opens up , Rosberg said ."
2,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .
1,"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store ."
1,Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .
2,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ."
1,Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .
1,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .
1,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 ."
1,Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .
2,"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said ."
1,Finnish publishing and printing group Ilkka-Yhtym+Æ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .
1,"Galeria Podlaska , a shopping mall on Wysockiego Street in Bia ` ystok , is approximately 60-percent leased or reserved ."
0,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 ."
2,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator ."
2,Net sales in 2007 are expected to be 10 % up on 2006 .
1,Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .
0,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 ."
2,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters ."
0,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 ."
1,"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 ."
1,"Presentation materials will be posted on the company 's website : www.seahawkdrilling.com in the `` Investor Relations '' section , on the `` Webcast & Presentations '' tab ."
2,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts ."
2,Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .
1,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .
1,"France T+_l+_com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said ."
1,"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions ."
1,Europe needs 17 new large paper machines .
1,`` Serving customers locally is one of the cornerstones of customer focus for us .
1,"Some 250 people , of whom more than 200 are workers , will be retiring from the Raahe Works between 2008 and 2011 ."
1,Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .
2,It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .
2,Net cash flow from operations is expected to remain positive .
0,Viking Line has canceled some services .
2,The acquisition is expected to improve access to chrome ore resources in Turkey .
2,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
0,"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition ."
2,"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros ."
1,"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added ."
1,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .
1,Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .
1,The issuer is solely responsible for the content of this announcement .
1,"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany ."
1,"The Finnish food concern Atria is about to acquire two Estonian meat processing companies , Woro Kommerts and Vastse-Kuuste Lihatoostus , reported the Official website www.investinestonia.com ."
2,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million ."
2,Repeats sees 2008 EBITA above 18 pct of sales .
1,It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .
1,"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry ."
1,Juha-Pekka Weckstr+¦m has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .
1,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France ."
1,"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets ."
2,With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .
1,"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company ."
2,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated ."
1,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations ."
1,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 ."
0,"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted ."
0,Export declined by 6 percent to 16.4 million liters .
1,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 ."
0,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year ."
1,"The Russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas ."
1,The parties have agreed not to disclose the transaction value .
1,The agreement includes application maintenance and support services .
2,"The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 ."
1,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years ."
0,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn ."
1,The goal is significant expansion in Finland and in the northern Baltic region .
1,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .
1,Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .
2,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock ."
1,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .
1,"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline ."
1,"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe ."
1,The purchase sum is about EUR 10mn US$ 12.97 mn .
0,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % ."
1,"The Division also includes joint sales , marketing and controlling functions for these units ."
1,"The contract covers installation , training and start-up services ."
2,Cash flow from operating activities is estimated to be positive .
1,`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .
1,The company then said it will focus its resources on clinical research .
1,There are no substitutes to AC drives .
1,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 ."
1,"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. ."
1,"The contract value amounts to about EUR11m , the company added ."
2,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 ."
1,"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia ."
1,Scandic Feed will also diversify Tosno 's product portfolio further .
0,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 ."
2,Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .
1,"The contract , which was signed yesterday , will run for five years and includes a two-year extension option ."
1,"It includes the company 's new , highly powerful , compact and scalable Flexi Multiradio 10 Base Station ."
1,"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares ."
1,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 ."
1,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility ."
1,Aspo 's Group structure and business operations are continually developed without any predefined schedules .
1,"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 ."
1,"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 ."
1,The sale price was not disclosed .
0,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in Sievi , in Finland ."
1,The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .
1,No financial detail were available .
1,"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share ."
2,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .
1,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said ."
2,"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said ."
1,Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .
0,"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn ."
2,We are now in a position to pursue novel clinical candidates going forward . ''
1,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo ."
1,"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition ."
2,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data ."
0,"As a result of the negotiations , the amount of employment contracts to be terminated is 13 ."
1,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ."
0,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .
1,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year ."
1,"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development ."
1,"According to latest information , Benefon will launch its Twig device on 20 September 2006 ."
1,"On preliminary estimate , the hotel will operate under the brand Novotel ."
1,Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .
1,"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 ."
2,Poyry has a good track record of major transportation projects in Latin America .
1,"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses ."
2,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).
1,"The third applicant , Fortum , was dropped ."
1,"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper ."
1,"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden ."
1,"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 ."
1,The authorization is in force for a period of 18 months from the resolution by the General Meeting .
1,"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 ."
1,Decisions are to be made as quickly as possible .
1,"It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark ."
0,"have notified that as a result of the Company issuing 14,432,000 new shares in the directed offering , the joint holdings of Pequot has decreased below 1-10 to 9.63 % of total number of shares and votes in the Company ."
2,"Salo , Finland , 29 August 2006 - Benefon has today announced its plans to further strengthen its in-house technology platform , by licensing the complete mobile software platform , Opna , from its long-standing technology partner , Pollex ."
2,"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements ."
0,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect ."
1,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China ."
2,"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''"
1,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share ."
1,The idea of saving electricity in data transfer is still a new one .
2,"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes ."
2,"The move is aimed at boosting sales , cost-efficiency and market share in Finland ."
1,The objective of the St. Petersburg office is first to boost the Company 's maintenance business .
0,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .
0,"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham ."
1,"On January 29 , 2009 The largest Nordic bank Nordea and Finnish retail chain Stockmann launched a regionally unique cooperation project : they are the first to introduce a common MasterCard credit card enabling payments in different states and stores ."
2,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO ."
2,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .
2,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .
2,Sales of clothing developed best .
1,Both companies will keep their commercial independence and continue to market their traditional products individually .
1,All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .
0,The first ship has been delayed and is estimated to be completed in spring 2010 .
1,"The closing of the transaction is scheduled to take place on January 10 , 2008 ."
2,UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .
2,"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 ."
2,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .
2,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .
1,"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe ."
1,"Teollisuuden Voima Oyj , the Finnish utility known as TVO , said it shortlisted Mitsubishi Heavy s EU-APWR model along with reactors from Areva , Toshiba Corp. , GE Hitachi Nuclear Energy and Korea Hydro & Nuclear Power Co. ."
1,Each year the dividend is deducted from the subscription price .
1,"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems ."
1,"The business idea of Budget Sport is to offer customers a wide range of high-quality sports equipment and clothing at low prices , the company said ."
1,The personnel s expertise and high level of technology play a major role in Exel Composites operations .
2,The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .
1,"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 ."
1,The deal means that ten persons in three countries will transfer to Tieto .
2,"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''"
2,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 ."
2,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 ."
1,"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device ."
1,`` It wo n't happen overnight .
2,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 ."
1,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems ."
1,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) ."
1,"In beers , Olvi retained its market position ."
2,The group will expand the chain to include 45 stores .
1,"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan ."
0,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ."
2,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members ."
1,"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector ."
1,Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .
1,"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares ."
2,`` The CHF is a great product .
1,"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner ."
2,"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 ."
1,"When the negotiations were started , Neste Oil anticipated that 450 people would be affected ."
2,"In Middle East & North Africa , Tecnotree has grown considerably in the recent years ."
1,The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .
1,The deal includes an option for Cramo to buy out the minority stake in 2011 .
2,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier ."
2,"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F ."
0,EPS dropped to EUR0 .2 from EUR0 .3 .
0,"`` We cut our frequency to New York last year , which explains the fall , '' he said ."
1,"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros ."
2,"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. ."
1,"In Finland , export industry forms a large clientele for the packaging industry ."
1,"Later on , about 150 Finnish-made houses will be build in the area ."
1,The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .
2,"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier ."
1,"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region ."
2,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said ."
1,"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors ."
0,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ."
1,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .
1,The contract is for next year .
2,The long-term contract is global .
0,"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue ."
1,"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally ."
2,The expansion aims to attract new customers both in Finland and abroad .
0,`` Those uncertainties cloud the long-term outlook . ''
1,The company continued the development of a fully human antibody in its VAP-1 antibody program .
0,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 ."
0,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 ."
1,"no compensation for its news , opinions or distributions ."
2,"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies ."
2,Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .
1,"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth ."
0,Net profit fell by almost half to +â 5.5 million from +â 9.4 million at the end of 2007 .
2,"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted ."
